EID_100001, Smith, Amélie, (024) 777 439 391, amélie.smith@heig-vd.ch, FEMALE, EC, Admin
EID_102467, Marchand, Henriette, (024) 777 548 804, henriette.marchand@heig-vd.ch, FEMALE, TIN, Admin
EID_102468, Dupont, Didier, (024) 777 151 616, didier.dupont@heig-vd.ch, MALE, TIN, Admin
EID_102469, Dupont, Bernard, (024) 777 195 768, bernard.dupont@heig-vd.ch, MALE, COMEM, Admin
EID_102470, Jones, Edgar, (024) 777 359 113, edgar.jones@heig-vd.ch, MALE, HEG, Student
EID_102471, Marchand, Brigitte, (024) 777 655 731, brigitte.marchand@heig-vd.ch, FEMALE, TIN, Admin
EID_102472, Delon, Amélie, (024) 777 690 794, amélie.delon@heig-vd.ch, FEMALE, COMEM, Assistant
EID_102473, Jones, Cédric, (024) 777 108 509, cédric.jones@heig-vd.ch, MALE, COMEM, Admin
EID_102474, Simpson, Henri, (024) 777 578 198, henri.simpson@heig-vd.ch, MALE, TIN, Assistant
EID_102475, Clément, Luc, (024) 777 747 497, luc.clément@heig-vd.ch, MALE, DEPG, Admin
EID_102476, Delon, Anne, (024) 777 596 331, anne.delon@heig-vd.ch, FEMALE, TIN, Student
EID_102477, Smith, Danièle, (024) 777 589 609, danièle.smith@heig-vd.ch, FEMALE, DEPG, Professor
EID_102478, Belmondo, Edgar, (024) 777 130 501, edgar.belmondo@heig-vd.ch, MALE, HEG, Professor
EID_102479, Belmondo, Julie, (024) 777 144 782, julie.belmondo@heig-vd.ch, FEMALE, COMEM, Student
EID_102480, Dupond, Aurore, (024) 777 765 600, aurore.dupond@heig-vd.ch, FEMALE, COMEM, Student
EID_102481, Marchand, Bernard, (024) 777 683 423, bernard.marchand@heig-vd.ch, MALE, TIC, Professor
EID_102482, De Decker, Bernadette, (024) 777 591 721, bernadette.de decker@heig-vd.ch, FEMALE, DEPG, Assistant
EID_102483, Durant, Henri, (024) 777 357 126, henri.durant@heig-vd.ch, MALE, TIN, Assistant
EID_102484, De Decker, Gilles, (024) 777 774 808, gilles.de decker@heig-vd.ch, MALE, HEG, Professor
EID_102485, Dupond, Christine, (024) 777 803 582, christine.dupond@heig-vd.ch, FEMALE, COMEM, Admin
EID_102486, De Decker, Faustine, (024) 777 859 452, faustine.de decker@heig-vd.ch, FEMALE, DEPG, Student
EID_102487, Durant, Anne, (024) 777 746 586, anne.durant@heig-vd.ch, FEMALE, DEPG, Admin
EID_102488, Marchand, Irène, (024) 777 792 405, irène.marchand@heig-vd.ch, FEMALE, DEPG, Assistant
EID_102489, Dupont, Amélie, (024) 777 260 735, amélie.dupont@heig-vd.ch, FEMALE, COMEM, Student
EID_102490, Bauer, Evelyne, (024) 777 265 759, evelyne.bauer@heig-vd.ch, FEMALE, DEPG, Assistant
EID_102491, Simpson, Faustine, (024) 777 126 124, faustine.simpson@heig-vd.ch, FEMALE, TIN, Professor
EID_102492, Belmondo, Lucien, (024) 777 753 128, lucien.belmondo@heig-vd.ch, MALE, HEG, Student
EID_102493, Clément, Christine, (024) 777 496 795, christine.clément@heig-vd.ch, FEMALE, TIN, Admin
EID_102494, Marchand, Albert, (024) 777 197 145, albert.marchand@heig-vd.ch, MALE, TIN, Admin
EID_102495, De Villiers, Bryan, (024) 777 289 584, bryan.de villiers@heig-vd.ch, MALE, EC, Professor
EID_102496, De Decker, Emilie, (024) 777 802 721, emilie.de decker@heig-vd.ch, FEMALE, DEPG, Professor
EID_102497, Belmondo, Amélie, (024) 777 115 749, amélie.belmondo@heig-vd.ch, FEMALE, HEG, Admin
EID_102498, Dupont, Lucien, (024) 777 104 799, lucien.dupont@heig-vd.ch, MALE, EC, Assistant
EID_102499, Durant, Brigitte, (024) 777 281 739, brigitte.durant@heig-vd.ch, FEMALE, DEPG, Assistant
EID_102500, Jones, Carole, (024) 777 621 301, carole.jones@heig-vd.ch, FEMALE, TIC, Admin
EID_102501, Jones, Evelyne, (024) 777 790 395, evelyne.jones@heig-vd.ch, FEMALE, COMEM, Admin
EID_102502, Jones, Christine, (024) 777 767 660, christine.jones@heig-vd.ch, FEMALE, EC, Professor
EID_102503, Durant, Gilles, (024) 777 387 745, gilles.durant@heig-vd.ch, MALE, EC, Professor
EID_102504, Dupont, Cédric, (024) 777 685 856, cédric.dupont@heig-vd.ch, MALE, DEPG, Student
EID_102505, Bauer, Cédric, (024) 777 182 808, cédric.bauer@heig-vd.ch, MALE, TIC, Professor
EID_102506, Jones, Bernard, (024) 777 244 116, bernard.jones@heig-vd.ch, MALE, COMEM, Student
EID_102507, Clément, Didier, (024) 777 561 724, didier.clément@heig-vd.ch, MALE, DEPG, Admin
EID_102508, De Villiers, Marc, (024) 777 261 475, marc.de villiers@heig-vd.ch, MALE, EC, Student
EID_102509, Simpson, Guillaume, (024) 777 367 203, guillaume.simpson@heig-vd.ch, MALE, HEG, Student
EID_102510, Durant, Henri, (024) 777 667 765, henri.durant@heig-vd.ch, MALE, DEPG, Professor
EID_102511, Belmondo, Jimmy, (024) 777 342 788, jimmy.belmondo@heig-vd.ch, MALE, COMEM, Assistant
EID_102512, Marchand, Fabienne, (024) 777 163 772, fabienne.marchand@heig-vd.ch, FEMALE, HEG, Admin
EID_102513, De Decker, Luc, (024) 777 629 281, luc.de decker@heig-vd.ch, MALE, HEG, Professor
EID_102514, De Villiers, Lucien, (024) 777 316 715, lucien.de villiers@heig-vd.ch, MALE, TIN, Professor
EID_102515, Belmondo, Lucien, (024) 777 411 364, lucien.belmondo@heig-vd.ch, MALE, DEPG, Admin
EID_102516, Smith, Aurore, (024) 777 188 413, aurore.smith@heig-vd.ch, FEMALE, HEG, Professor
EID_102517, Belmondo, Henriette, (024) 777 822 893, henriette.belmondo@heig-vd.ch, FEMALE, DEPG, Assistant
EID_102518, Simpson, Albert, (024) 777 342 436, albert.simpson@heig-vd.ch, MALE, DEPG, Admin
EID_102519, Marchand, Dylan, (024) 777 384 614, dylan.marchand@heig-vd.ch, MALE, EC, Student
EID_102520, Dupont, Jimmy, (024) 777 496 293, jimmy.dupont@heig-vd.ch, MALE, TIC, Admin
EID_102521, Simpson, Guillaume, (024) 777 408 898, guillaume.simpson@heig-vd.ch, MALE, HEG, Student
EID_102522, Belmondo, Fabrice, (024) 777 296 393, fabrice.belmondo@heig-vd.ch, MALE, EC, Professor
EID_102523, Delon, Christine, (024) 777 743 836, christine.delon@heig-vd.ch, FEMALE, TIC, Student
EID_102524, Smith, Julien, (024) 777 271 267, julien.smith@heig-vd.ch, MALE, HEG, Student
EID_102525, Simpson, Emilie, (024) 777 552 551, emilie.simpson@heig-vd.ch, FEMALE, EC, Assistant
EID_102526, Belmondo, Luc, (024) 777 109 565, luc.belmondo@heig-vd.ch, MALE, HEG, Admin
EID_102527, Marchand, Faustine, (024) 777 153 636, faustine.marchand@heig-vd.ch, FEMALE, DEPG, Assistant
EID_102528, Dupond, Lucien, (024) 777 481 583, lucien.dupond@heig-vd.ch, MALE, HEG, Assistant
EID_102529, Marchand, Didier, (024) 777 546 545, didier.marchand@heig-vd.ch, MALE, COMEM, Admin
EID_102530, Simpson, Bryan, (024) 777 328 115, bryan.simpson@heig-vd.ch, MALE, EC, Professor
EID_102531, Clément, Evelyne, (024) 777 880 876, evelyne.clément@heig-vd.ch, FEMALE, TIC, Admin
EID_102532, De Decker, Lucien, (024) 777 586 429, lucien.de decker@heig-vd.ch, MALE, COMEM, Assistant
EID_102533, De Villiers, Charles, (024) 777 628 455, charles.de villiers@heig-vd.ch, MALE, EC, Assistant
EID_102534, De Villiers, Emma, (024) 777 422 532, emma.de villiers@heig-vd.ch, FEMALE, COMEM, Admin
EID_102535, Belmondo, Didier, (024) 777 151 284, didier.belmondo@heig-vd.ch, MALE, TIC, Assistant
EID_102536, Delon, Faustine, (024) 777 263 194, faustine.delon@heig-vd.ch, FEMALE, TIN, Assistant
EID_102537, Bauer, Cédric, (024) 777 114 475, cédric.bauer@heig-vd.ch, MALE, DEPG, Admin
EID_102538, Marchand, Edgar, (024) 777 103 636, edgar.marchand@heig-vd.ch, MALE, EC, Student
EID_102539, Delon, Georgette, (024) 777 477 750, georgette.delon@heig-vd.ch, FEMALE, COMEM, Admin
EID_102540, Delon, Emma, (024) 777 819 704, emma.delon@heig-vd.ch, FEMALE, TIC, Assistant
EID_102541, Clément, Didier, (024) 777 708 896, didier.clément@heig-vd.ch, MALE, DEPG, Admin
EID_102542, Marchand, Fabrice, (024) 777 361 275, fabrice.marchand@heig-vd.ch, MALE, EC, Professor
EID_102543, Dupond, Emil, (024) 777 449 385, emil.dupond@heig-vd.ch, MALE, TIC, Professor
EID_102544, Simpson, Evelyne, (024) 777 298 592, evelyne.simpson@heig-vd.ch, FEMALE, TIC, Student
EID_102545, Jones, Cédric, (024) 777 253 262, cédric.jones@heig-vd.ch, MALE, TIN, Admin
EID_102546, De Villiers, Carole, (024) 777 180 343, carole.de villiers@heig-vd.ch, FEMALE, EC, Professor
EID_102547, Dupond, Dylan, (024) 777 452 502, dylan.dupond@heig-vd.ch, MALE, EC, Admin
EID_102548, Delon, Evelyne, (024) 777 472 577, evelyne.delon@heig-vd.ch, FEMALE, EC, Student
EID_102549, Durant, Dylan, (024) 777 869 289, dylan.durant@heig-vd.ch, MALE, EC, Assistant
EID_102550, Belmondo, Luc, (024) 777 431 142, luc.belmondo@heig-vd.ch, MALE, HEG, Assistant
EID_102551, Dupont, Charles, (024) 777 779 875, charles.dupont@heig-vd.ch, MALE, HEG, Student
EID_102552, Dupond, Frédéric, (024) 777 598 286, frédéric.dupond@heig-vd.ch, MALE, COMEM, Professor
EID_102553, Simpson, Fabienne, (024) 777 613 620, fabienne.simpson@heig-vd.ch, FEMALE, DEPG, Admin
EID_102554, Dupont, Anne, (024) 777 630 873, anne.dupont@heig-vd.ch, FEMALE, DEPG, Student
EID_102555, Belmondo, Emilie, (024) 777 310 466, emilie.belmondo@heig-vd.ch, FEMALE, HEG, Professor
EID_102556, Bauer, Frédéric, (024) 777 691 216, frédéric.bauer@heig-vd.ch, MALE, TIN, Professor
EID_102557, De Villiers, Gilles, (024) 777 586 602, gilles.de villiers@heig-vd.ch, MALE, TIN, Professor
EID_102558, Marchand, Emma, (024) 777 747 765, emma.marchand@heig-vd.ch, FEMALE, TIC, Student
EID_102559, De Villiers, Carole, (024) 777 706 760, carole.de villiers@heig-vd.ch, FEMALE, EC, Student
EID_102560, Jones, Fabrice, (024) 777 805 846, fabrice.jones@heig-vd.ch, MALE, TIN, Assistant
EID_102561, De Villiers, Guillaume, (024) 777 756 847, guillaume.de villiers@heig-vd.ch, MALE, TIC, Professor
EID_102562, Dupont, Gilles, (024) 777 589 868, gilles.dupont@heig-vd.ch, MALE, DEPG, Student
EID_102563, Durant, Frédéric, (024) 777 696 237, frédéric.durant@heig-vd.ch, MALE, HEG, Assistant
EID_102564, Belmondo, Julien, (024) 777 753 399, julien.belmondo@heig-vd.ch, MALE, TIC, Professor
EID_102565, Durant, Cédric, (024) 777 750 735, cédric.durant@heig-vd.ch, MALE, HEG, Professor
EID_102566, Dupont, Henri, (024) 777 307 629, henri.dupont@heig-vd.ch, MALE, COMEM, Admin
EID_102567, Dupont, Anne, (024) 777 399 189, anne.dupont@heig-vd.ch, FEMALE, TIC, Assistant
EID_102568, De Decker, Bernard, (024) 777 209 345, bernard.de decker@heig-vd.ch, MALE, EC, Assistant
EID_102569, Dupont, Evelyne, (024) 777 891 204, evelyne.dupont@heig-vd.ch, FEMALE, TIN, Assistant
EID_102570, Belmondo, Cédric, (024) 777 112 815, cédric.belmondo@heig-vd.ch, MALE, DEPG, Admin
EID_102571, De Decker, Bernadette, (024) 777 159 465, bernadette.de decker@heig-vd.ch, FEMALE, COMEM, Professor
EID_102572, Dupond, Amélie, (024) 777 857 579, amélie.dupond@heig-vd.ch, FEMALE, DEPG, Professor
EID_102573, Bauer, Cédric, (024) 777 361 484, cédric.bauer@heig-vd.ch, MALE, TIN, Assistant
EID_102574, Belmondo, Emil, (024) 777 814 388, emil.belmondo@heig-vd.ch, MALE, TIC, Admin
EID_102575, Belmondo, Fabrice, (024) 777 305 720, fabrice.belmondo@heig-vd.ch, MALE, HEG, Professor
EID_102576, Dupond, Fabrice, (024) 777 260 307, fabrice.dupond@heig-vd.ch, MALE, DEPG, Professor
EID_102577, Marchand, Fabien, (024) 777 494 774, fabien.marchand@heig-vd.ch, MALE, COMEM, Assistant
EID_102578, Clément, Carole, (024) 777 297 557, carole.clément@heig-vd.ch, FEMALE, HEG, Professor
EID_102579, De Villiers, Brigitte, (024) 777 159 879, brigitte.de villiers@heig-vd.ch, FEMALE, TIN, Student
EID_102580, Smith, Faustine, (024) 777 641 110, faustine.smith@heig-vd.ch, FEMALE, HEG, Admin
EID_102581, Simpson, Gontran, (024) 777 568 334, gontran.simpson@heig-vd.ch, MALE, COMEM, Assistant
EID_102582, Simpson, Emilie, (024) 777 350 793, emilie.simpson@heig-vd.ch, FEMALE, HEG, Professor
EID_102583, Delon, Henri, (024) 777 637 890, henri.delon@heig-vd.ch, MALE, HEG, Professor
EID_102584, Dupont, Bernadette, (024) 777 301 496, bernadette.dupont@heig-vd.ch, FEMALE, EC, Assistant
EID_102585, Dupont, Edgar, (024) 777 778 741, edgar.dupont@heig-vd.ch, MALE, DEPG, Admin
EID_102586, Dupond, Emil, (024) 777 274 796, emil.dupond@heig-vd.ch, MALE, TIC, Professor
EID_102587, Delon, Anne, (024) 777 518 104, anne.delon@heig-vd.ch, FEMALE, TIN, Student
EID_102588, Simpson, Aurore, (024) 777 665 618, aurore.simpson@heig-vd.ch, FEMALE, TIN, Professor
EID_102589, De Decker, Fabrice, (024) 777 108 100, fabrice.de decker@heig-vd.ch, MALE, DEPG, Assistant
EID_102590, Dupond, Fabrice, (024) 777 782 476, fabrice.dupond@heig-vd.ch, MALE, HEG, Student
EID_102591, Marchand, Henriette, (024) 777 184 335, henriette.marchand@heig-vd.ch, FEMALE, EC, Professor
EID_102592, Clément, Charles, (024) 777 657 839, charles.clément@heig-vd.ch, MALE, COMEM, Admin
EID_102593, Bauer, Dylan, (024) 777 372 806, dylan.bauer@heig-vd.ch, MALE, HEG, Assistant
EID_102594, Dupont, Gontran, (024) 777 245 187, gontran.dupont@heig-vd.ch, MALE, EC, Admin
EID_102595, Dupont, Carine, (024) 777 519 674, carine.dupont@heig-vd.ch, FEMALE, EC, Admin
EID_102596, Smith, Christine, (024) 777 690 551, christine.smith@heig-vd.ch, FEMALE, DEPG, Professor
EID_102597, Dupond, Julie, (024) 777 810 461, julie.dupond@heig-vd.ch, FEMALE, DEPG, Assistant
EID_102598, Jones, Fabrice, (024) 777 176 880, fabrice.jones@heig-vd.ch, MALE, HEG, Assistant
EID_102599, Jones, Henri, (024) 777 556 387, henri.jones@heig-vd.ch, MALE, COMEM, Student
EID_102600, Belmondo, Dylan, (024) 777 224 396, dylan.belmondo@heig-vd.ch, MALE, TIC, Professor
EID_102601, Smith, Fabien, (024) 777 161 297, fabien.smith@heig-vd.ch, MALE, TIN, Assistant
EID_102602, Belmondo, Henri, (024) 777 749 554, henri.belmondo@heig-vd.ch, MALE, TIC, Admin
EID_102603, Delon, Frédéric, (024) 777 269 415, frédéric.delon@heig-vd.ch, MALE, TIC, Admin
EID_102604, De Decker, Dorothé, (024) 777 801 305, dorothé.de decker@heig-vd.ch, FEMALE, EC, Professor
EID_102605, De Decker, Albert, (024) 777 413 421, albert.de decker@heig-vd.ch, MALE, TIN, Professor
EID_102606, Delon, Danièle, (024) 777 115 160, danièle.delon@heig-vd.ch, FEMALE, DEPG, Assistant
EID_102607, Belmondo, Frédéric, (024) 777 571 387, frédéric.belmondo@heig-vd.ch, MALE, TIN, Professor
EID_102608, Dupont, Marc, (024) 777 668 292, marc.dupont@heig-vd.ch, MALE, TIC, Admin
EID_102609, Jones, Brigitte, (024) 777 656 488, brigitte.jones@heig-vd.ch, FEMALE, DEPG, Professor
EID_102610, Bauer, Fabrice, (024) 777 551 197, fabrice.bauer@heig-vd.ch, MALE, HEG, Assistant
EID_102611, Smith, Edgar, (024) 777 338 381, edgar.smith@heig-vd.ch, MALE, TIC, Assistant
EID_102612, Durant, Henriette, (024) 777 385 531, henriette.durant@heig-vd.ch, FEMALE, TIN, Professor
EID_102613, Clément, Emilie, (024) 777 577 725, emilie.clément@heig-vd.ch, FEMALE, HEG, Admin
EID_102614, Durant, Emil, (024) 777 396 535, emil.durant@heig-vd.ch, MALE, HEG, Admin
EID_102615, Jones, Irène, (024) 777 891 443, irène.jones@heig-vd.ch, FEMALE, EC, Admin
EID_102616, Simpson, Gilles, (024) 777 804 112, gilles.simpson@heig-vd.ch, MALE, TIC, Professor
EID_102617, Durant, Emilie, (024) 777 245 870, emilie.durant@heig-vd.ch, FEMALE, COMEM, Admin
EID_102618, Marchand, Cédric, (024) 777 523 256, cédric.marchand@heig-vd.ch, MALE, COMEM, Assistant
EID_102619, Dupond, Gontran, (024) 777 272 533, gontran.dupond@heig-vd.ch, MALE, HEG, Professor
EID_102620, Dupont, Henri, (024) 777 622 447, henri.dupont@heig-vd.ch, MALE, COMEM, Student
EID_102621, De Decker, Frédéric, (024) 777 521 267, frédéric.de decker@heig-vd.ch, MALE, EC, Professor
EID_102622, Simpson, Gilles, (024) 777 199 147, gilles.simpson@heig-vd.ch, MALE, COMEM, Assistant
EID_102623, Bauer, Amélie, (024) 777 820 679, amélie.bauer@heig-vd.ch, FEMALE, DEPG, Professor
EID_102624, Bauer, Henri, (024) 777 851 673, henri.bauer@heig-vd.ch, MALE, TIC, Admin
EID_102625, Dupont, Carole, (024) 777 493 712, carole.dupont@heig-vd.ch, FEMALE, TIC, Assistant
EID_102626, Dupont, Carole, (024) 777 314 478, carole.dupont@heig-vd.ch, FEMALE, TIN, Student
EID_102627, De Decker, Gilles, (024) 777 802 147, gilles.de decker@heig-vd.ch, MALE, COMEM, Professor
EID_102628, Simpson, Danièle, (024) 777 307 753, danièle.simpson@heig-vd.ch, FEMALE, EC, Admin
EID_102629, Delon, Georgette, (024) 777 565 733, georgette.delon@heig-vd.ch, FEMALE, HEG, Student
EID_102630, Delon, Fabienne, (024) 777 203 686, fabienne.delon@heig-vd.ch, FEMALE, DEPG, Student
EID_102631, Smith, Irène, (024) 777 574 891, irène.smith@heig-vd.ch, FEMALE, EC, Student
EID_102632, Jones, Bryan, (024) 777 530 687, bryan.jones@heig-vd.ch, MALE, EC, Assistant
EID_102633, Durant, Julien, (024) 777 842 834, julien.durant@heig-vd.ch, MALE, EC, Professor
EID_102634, De Decker, Christine, (024) 777 389 158, christine.de decker@heig-vd.ch, FEMALE, TIC, Student
EID_102635, Clément, Danièle, (024) 777 351 126, danièle.clément@heig-vd.ch, FEMALE, TIC, Student
EID_102636, Clément, Fabrice, (024) 777 645 760, fabrice.clément@heig-vd.ch, MALE, TIC, Professor
EID_102637, Clément, Cédric, (024) 777 835 497, cédric.clément@heig-vd.ch, MALE, TIN, Assistant
EID_102638, Simpson, Anne, (024) 777 343 629, anne.simpson@heig-vd.ch, FEMALE, EC, Professor
EID_102639, Marchand, Henriette, (024) 777 127 666, henriette.marchand@heig-vd.ch, FEMALE, HEG, Assistant
EID_102640, Jones, Aurore, (024) 777 720 609, aurore.jones@heig-vd.ch, FEMALE, HEG, Admin
EID_102641, Smith, Carine, (024) 777 478 742, carine.smith@heig-vd.ch, FEMALE, HEG, Admin
EID_102642, Jones, Julie, (024) 777 623 209, julie.jones@heig-vd.ch, FEMALE, EC, Student
EID_102643, Dupont, Albert, (024) 777 649 607, albert.dupont@heig-vd.ch, MALE, TIN, Professor
EID_102644, Simpson, Fabien, (024) 777 455 344, fabien.simpson@heig-vd.ch, MALE, EC, Student
EID_102645, Belmondo, Frédéric, (024) 777 575 622, frédéric.belmondo@heig-vd.ch, MALE, DEPG, Assistant
EID_102646, Bauer, Carole, (024) 777 881 180, carole.bauer@heig-vd.ch, FEMALE, HEG, Admin
EID_102647, De Decker, Anne, (024) 777 350 274, anne.de decker@heig-vd.ch, FEMALE, TIC, Assistant
EID_102648, De Villiers, Bernadette, (024) 777 209 799, bernadette.de villiers@heig-vd.ch, FEMALE, TIC, Student
EID_102649, Simpson, Dylan, (024) 777 513 846, dylan.simpson@heig-vd.ch, MALE, TIN, Admin
EID_102650, Marchand, Carine, (024) 777 424 113, carine.marchand@heig-vd.ch, FEMALE, TIN, Admin
EID_102651, Belmondo, Albert, (024) 777 470 251, albert.belmondo@heig-vd.ch, MALE, DEPG, Assistant
EID_102652, Belmondo, Jimmy, (024) 777 207 740, jimmy.belmondo@heig-vd.ch, MALE, TIC, Admin
EID_102653, De Villiers, Henriette, (024) 777 548 382, henriette.de villiers@heig-vd.ch, FEMALE, HEG, Student
EID_102654, Bauer, Carine, (024) 777 292 133, carine.bauer@heig-vd.ch, FEMALE, TIN, Student
EID_102655, Durant, Julien, (024) 777 344 397, julien.durant@heig-vd.ch, MALE, TIC, Admin
EID_102656, De Decker, Gilles, (024) 777 885 497, gilles.de decker@heig-vd.ch, MALE, HEG, Admin
EID_102657, Durant, Henri, (024) 777 660 505, henri.durant@heig-vd.ch, MALE, HEG, Assistant
EID_102658, Marchand, Didier, (024) 777 792 531, didier.marchand@heig-vd.ch, MALE, TIN, Student
EID_102659, Bauer, Aurore, (024) 777 693 590, aurore.bauer@heig-vd.ch, FEMALE, EC, Student
EID_102660, Clément, Carine, (024) 777 740 767, carine.clément@heig-vd.ch, FEMALE, HEG, Admin
EID_102661, De Decker, Fabrice, (024) 777 767 757, fabrice.de decker@heig-vd.ch, MALE, EC, Admin
EID_102662, De Villiers, Albert, (024) 777 426 354, albert.de villiers@heig-vd.ch, MALE, EC, Professor
EID_102663, Bauer, Fabien, (024) 777 283 594, fabien.bauer@heig-vd.ch, MALE, COMEM, Student
EID_102664, Dupont, Cédric, (024) 777 485 311, cédric.dupont@heig-vd.ch, MALE, TIN, Student
EID_102665, Clément, Jimmy, (024) 777 740 425, jimmy.clément@heig-vd.ch, MALE, COMEM, Admin
EID_102666, Simpson, Julie, (024) 777 872 109, julie.simpson@heig-vd.ch, FEMALE, COMEM, Admin
EID_102667, De Decker, Fabrice, (024) 777 101 622, fabrice.de decker@heig-vd.ch, MALE, DEPG, Admin
EID_102668, Delon, Aurore, (024) 777 288 521, aurore.delon@heig-vd.ch, FEMALE, EC, Admin
EID_102669, Delon, Georgette, (024) 777 419 125, georgette.delon@heig-vd.ch, FEMALE, DEPG, Admin
EID_102670, Durant, Emil, (024) 777 857 513, emil.durant@heig-vd.ch, MALE, DEPG, Professor
EID_102671, Marchand, Fabien, (024) 777 877 574, fabien.marchand@heig-vd.ch, MALE, EC, Professor
EID_102672, Smith, Irène, (024) 777 254 753, irène.smith@heig-vd.ch, FEMALE, TIC, Assistant
EID_102673, Smith, Brigitte, (024) 777 793 552, brigitte.smith@heig-vd.ch, FEMALE, TIN, Student
EID_102674, Marchand, Irène, (024) 777 205 859, irène.marchand@heig-vd.ch, FEMALE, HEG, Admin
EID_102675, Jones, Julien, (024) 777 732 644, julien.jones@heig-vd.ch, MALE, TIN, Admin
EID_102676, Marchand, Evelyne, (024) 777 843 719, evelyne.marchand@heig-vd.ch, FEMALE, TIN, Admin
EID_102677, De Villiers, Edgar, (024) 777 655 188, edgar.de villiers@heig-vd.ch, MALE, EC, Professor
EID_102678, Clément, Henriette, (024) 777 481 344, henriette.clément@heig-vd.ch, FEMALE, TIC, Admin
EID_102679, Bauer, Jimmy, (024) 777 353 577, jimmy.bauer@heig-vd.ch, MALE, TIN, Admin
EID_102680, Dupont, Aurore, (024) 777 629 705, aurore.dupont@heig-vd.ch, FEMALE, HEG, Student
EID_102681, Durant, Irène, (024) 777 149 790, irène.durant@heig-vd.ch, FEMALE, DEPG, Professor
EID_102682, Delon, Brigitte, (024) 777 452 659, brigitte.delon@heig-vd.ch, FEMALE, HEG, Admin
EID_102683, Marchand, Aurore, (024) 777 179 892, aurore.marchand@heig-vd.ch, FEMALE, DEPG, Professor
EID_102684, Belmondo, Evelyne, (024) 777 705 523, evelyne.belmondo@heig-vd.ch, FEMALE, COMEM, Professor
EID_102685, Simpson, Emil, (024) 777 685 363, emil.simpson@heig-vd.ch, MALE, COMEM, Admin
EID_102686, Dupond, Brigitte, (024) 777 661 883, brigitte.dupond@heig-vd.ch, FEMALE, HEG, Professor
EID_102687, Delon, Frédéric, (024) 777 482 528, frédéric.delon@heig-vd.ch, MALE, DEPG, Student
EID_102688, Smith, Fabienne, (024) 777 703 743, fabienne.smith@heig-vd.ch, FEMALE, HEG, Student
EID_102689, Marchand, Guillaume, (024) 777 818 880, guillaume.marchand@heig-vd.ch, MALE, COMEM, Assistant
EID_102690, Simpson, Carole, (024) 777 576 440, carole.simpson@heig-vd.ch, FEMALE, DEPG, Student
EID_102691, Clément, Cédric, (024) 777 457 783, cédric.clément@heig-vd.ch, MALE, TIC, Student
EID_102692, De Villiers, Luc, (024) 777 635 835, luc.de villiers@heig-vd.ch, MALE, EC, Student
EID_102693, Simpson, Henriette, (024) 777 247 681, henriette.simpson@heig-vd.ch, FEMALE, TIN, Student
EID_102694, De Villiers, Fabienne, (024) 777 394 342, fabienne.de villiers@heig-vd.ch, FEMALE, EC, Professor
EID_102695, Durant, Dylan, (024) 777 544 263, dylan.durant@heig-vd.ch, MALE, DEPG, Professor
EID_102696, Durant, Aurore, (024) 777 586 419, aurore.durant@heig-vd.ch, FEMALE, DEPG, Professor
EID_102697, Dupond, Edgar, (024) 777 762 770, edgar.dupond@heig-vd.ch, MALE, DEPG, Admin
EID_102698, Belmondo, Anne, (024) 777 475 223, anne.belmondo@heig-vd.ch, FEMALE, HEG, Professor
EID_102699, De Decker, Bernard, (024) 777 850 751, bernard.de decker@heig-vd.ch, MALE, EC, Admin
EID_102700, Simpson, Albert, (024) 777 864 294, albert.simpson@heig-vd.ch, MALE, DEPG, Admin
EID_102701, Marchand, Charles, (024) 777 119 622, charles.marchand@heig-vd.ch, MALE, DEPG, Admin
EID_102702, Delon, Gilles, (024) 777 597 891, gilles.delon@heig-vd.ch, MALE, TIC, Admin
EID_102703, De Decker, Anne, (024) 777 748 109, anne.de decker@heig-vd.ch, FEMALE, HEG, Admin
EID_102704, Simpson, Emma, (024) 777 410 411, emma.simpson@heig-vd.ch, FEMALE, EC, Admin
EID_102705, Jones, Frédéric, (024) 777 397 620, frédéric.jones@heig-vd.ch, MALE, DEPG, Admin
EID_102706, De Decker, Edgar, (024) 777 229 748, edgar.de decker@heig-vd.ch, MALE, EC, Admin
EID_102707, Belmondo, Anne, (024) 777 736 837, anne.belmondo@heig-vd.ch, FEMALE, HEG, Assistant
EID_102708, Dupont, Lucien, (024) 777 770 165, lucien.dupont@heig-vd.ch, MALE, TIN, Admin
EID_102709, De Villiers, Bernadette, (024) 777 514 714, bernadette.de villiers@heig-vd.ch, FEMALE, TIN, Admin
EID_102710, Jones, Bernadette, (024) 777 381 387, bernadette.jones@heig-vd.ch, FEMALE, TIC, Admin
EID_102711, Marchand, Gilles, (024) 777 821 495, gilles.marchand@heig-vd.ch, MALE, TIC, Admin
EID_102712, Jones, Aurore, (024) 777 298 660, aurore.jones@heig-vd.ch, FEMALE, DEPG, Admin
EID_102713, De Decker, Julien, (024) 777 303 570, julien.de decker@heig-vd.ch, MALE, TIN, Student
EID_102714, Dupont, Frédéric, (024) 777 779 477, frédéric.dupont@heig-vd.ch, MALE, DEPG, Assistant
EID_102715, Delon, Irène, (024) 777 211 844, irène.delon@heig-vd.ch, FEMALE, COMEM, Professor
EID_102716, De Villiers, Faustine, (024) 777 484 139, faustine.de villiers@heig-vd.ch, FEMALE, COMEM, Professor
EID_102717, Dupont, Cédric, (024) 777 629 348, cédric.dupont@heig-vd.ch, MALE, EC, Professor
